id,longsor,jenis_tanah,batuan,hadap_lereng,jarak_sungai,lereng,penutup_lahan,pga,jarak_struktur,jarak_jalan,elevasi
108,0,12.00000,8.00000,5.00000,3.00000,2.00000,4.00000,5.00000,1.00000,2.00000,4.00000
109,0,8.00000,14.00000,3.00000,2.00000,3.00000,9.00000,2.00000,1.00000,5.00000,2.00000
110,0,8.00000,14.00000,4.00000,2.00000,1.00000,4.00000,2.00000,1.00000,5.00000,1.00000
111,0,8.00000,14.00000,1.00000,1.00000,1.00000,4.00000,2.00000,1.00000,5.00000,1.00000
112,0,2.00000,14.00000,1.00000,2.00000,3.00000,4.00000,2.00000,5.00000,5.00000,2.00000
113,0,2.00000,14.00000,4.00000,1.00000,1.00000,9.00000,2.00000,4.00000,5.00000,1.00000
114,0,2.00000,9.00000,1.00000,1.00000,1.00000,7.00000,3.00000,1.00000,1.00000,2.00000
115,0,2.00000,9.00000,1.00000,2.00000,1.00000,8.00000,3.00000,1.00000,1.00000,2.00000
116,0,12.00000,9.00000,1.00000,1.00000,1.00000,8.00000,3.00000,1.00000,1.00000,2.00000
117,0,12.00000,9.00000,1.00000,1.00000,1.00000,8.00000,3.00000,1.00000,1.00000,2.00000
118,0,12.00000,8.00000,2.00000,1.00000,1.00000,8.00000,5.00000,1.00000,1.00000,3.00000
119,0,12.00000,11.00000,5.00000,1.00000,1.00000,4.00000,4.00000,1.00000,3.00000,3.00000
120,0,12.00000,9.00000,1.00000,1.00000,1.00000,8.00000,4.00000,1.00000,1.00000,3.00000
121,0,9.00000,2.00000,1.00000,3.00000,1.00000,8.00000,1.00000,1.00000,3.00000,1.00000
122,0,2.00000,14.00000,1.00000,1.00000,1.00000,11.00000,3.00000,1.00000,2.00000,3.00000
123,0,2.00000,9.00000,2.00000,1.00000,1.00000,8.00000,3.00000,1.00000,1.00000,2.00000
124,0,2.00000,14.00000,5.00000,1.00000,1.00000,11.00000,3.00000,1.00000,1.00000,2.00000
125,0,7.00000,8.00000,1.00000,1.00000,3.00000,9.00000,5.00000,1.00000,5.00000,8.00000
126,0,7.00000,8.00000,1.00000,1.00000,3.00000,9.00000,5.00000,1.00000,5.00000,8.00000
127,0,2.00000,11.00000,4.00000,1.00000,1.00000,4.00000,3.00000,5.00000,3.00000,2.00000
128,0,1.00000,14.00000,2.00000,2.00000,1.00000,7.00000,3.00000,1.00000,1.00000,1.00000
129,0,1.00000,14.00000,1.00000,1.00000,1.00000,8.00000,3.00000,1.00000,1.00000,1.00000
130,0,1.00000,5.00000,5.00000,1.00000,1.00000,4.00000,3.00000,1.00000,1.00000,1.00000
131,0,1.00000,5.00000,1.00000,2.00000,1.00000,4.00000,3.00000,4.00000,3.00000,1.00000
132,0,3.00000,11.00000,5.00000,1.00000,2.00000,7.00000,4.00000,5.00000,3.00000,4.00000
133,0,3.00000,11.00000,5.00000,1.00000,2.00000,11.00000,4.00000,5.00000,3.00000,3.00000
134,0,3.00000,11.00000,5.00000,1.00000,2.00000,11.00000,3.00000,5.00000,3.00000,3.00000
135,0,4.00000,9.00000,1.00000,2.00000,1.00000,7.00000,3.00000,1.00000,1.00000,1.00000
136,0,1.00000,9.00000,3.00000,2.00000,1.00000,8.00000,3.00000,1.00000,1.00000,1.00000
137,0,4.00000,14.00000,1.00000,1.00000,1.00000,8.00000,3.00000,1.00000,1.00000,1.00000
138,0,11.00000,16.00000,4.00000,1.00000,1.00000,4.00000,2.00000,5.00000,5.00000,1.00000
139,0,11.00000,11.00000,5.00000,1.00000,1.00000,4.00000,2.00000,5.00000,2.00000,1.00000
140,0,10.00000,2.00000,5.00000,1.00000,1.00000,8.00000,2.00000,2.00000,1.00000,1.00000
141,0,11.00000,5.00000,5.00000,1.00000,1.00000,4.00000,2.00000,4.00000,4.00000,1.00000
142,0,11.00000,5.00000,5.00000,1.00000,1.00000,4.00000,2.00000,3.00000,4.00000,1.00000
143,0,11.00000,5.00000,3.00000,2.00000,1.00000,4.00000,2.00000,1.00000,4.00000,1.00000
144,0,9.00000,2.00000,1.00000,2.00000,1.00000,8.00000,1.00000,1.00000,2.00000,1.00000
145,0,2.00000,2.00000,5.00000,1.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
146,0,10.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
147,0,10.00000,2.00000,1.00000,2.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
148,0,2.00000,2.00000,1.00000,2.00000,1.00000,8.00000,1.00000,1.00000,2.00000,1.00000
149,0,2.00000,2.00000,1.00000,2.00000,1.00000,7.00000,2.00000,1.00000,1.00000,1.00000
150,0,2.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
151,0,2.00000,2.00000,1.00000,3.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
152,0,2.00000,2.00000,3.00000,2.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
153,0,2.00000,2.00000,1.00000,1.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
